,review Text,review Grade
26,"I just received my phone yesterday and it works good and looks good. The reviews are correct, the Gold is the Rose Gold which is what I wanted! However, I have put in my Straight Talk SIM card and the data does not work. It says Verizon at the top and I've had an issue before buying a Verizon phone not working with my SIM card. I'm not sure what to do?",4
27,"After two bad IPhone purchases on Ebay, both refunded, and no luck finding a decent IPhone 8 on Gazelle I was hesitant to order another pre-owned IPhone. However, this IPhone was as advertised. Mint condition, excellent battery life and yes, it was actually an unlocked  model 1863. Dropped in my MetroPCS sim card and was up and running immediately. Good purchase and would buy again.",5
28,"Don't even think of buying this. I was badly scammed. First they only give you the phone and not even the chargers and others. Second, the phone did not even turn on. I have never been scammed this bad. This is literally the worst experience I have had with Amazon. Please save yourself and do not buy it. If you do, just come back here for a big fat I TOLD YOU SO",1
29,I am very very confused because I got an iPhone 11 Pro Max and not a red iPhone 8. But I don’t care it’s so much better,5
30,"The current phone I had was destroyed and I decided to  order a i8 phone rose gold unlocked, when I ordered it, I received a i7 phone white 😕, seeing that I needed a phone I decided to keep it and use it but then is was locked , I followed all the instructions that came with the phone which specifically said that the phone is unlocked, but the phone is LOCKED.....the reason I’m writing this review so late is because i have a friend that unlock phones and trying to unlock phones takes time, he unlocks the most difficult networks and this phone just can’t unlock , I’m going to return it. I’m very very disappointed 😡😡😡😡",1
31,"By reading some other reviews and based on my own experience I feel as though Kanga Supply, probably doesn't do a very intensive quality assurance on their products. If I could guess, they get a lot of refurbished used phones, which for the majority of the time work fine, but there are going to be quite a few phones that are faulty. The phone I received wouldn't even turn on, despite trying to charge it with 3 different chargers. I guess it's my fault for not looking at their website, where they make no guarantees that their products work. If you need a phone immediately, I wouldn't suggest buying from here, unless your willing to wait 3-4 business days for an exchange or refund.",1
32,"I should have known better- as soon as I tried to turn the phone on to set it up, there were problems. The phone was not responding to charging or me pressing the home/power buttons.I finally got it to turn on and assumed it was just a freak occurence (I was mistaken) and began to set up the phone. The phone kept resetting itself or shutting down completely throughout the night. Again, I blamed it the amount of data I was transferring from my old phone. (mistaken again)I used the phone for a few days, and it reset or shut down probably an average of 5 times a day. Sometimes the phone would freeze completely and become unresponsive to any buttons, touching, or even my attempts to force it to shut down. I would just have to leave it alone for an hour or until it reset itself again.I ended up returning the phone, and asked to exchange it for one that worked. The company faied to do so and sent me a refund instead. Now I am without a phone right before the holidays and must scramble to find a new one. I will not be buying this phone ever again and I recommend that you don't either.",1
33,"I bought this phone with intention of switching my Sim card from my current phone, to this one since I already have AT&T. But when I when to get my Sim card switched at the store (since I also bought a case there as well) they told me it didn't work because the phone was locked. Very dissatisfied with my purchase.",1
34,"I usually seek refurbished products as it is a good way to get quality devices at slightly lower costs than buying them new. I found this listing and I will admit that I was a little skeptical about making the purchase because of how few reviews there were. I contacted the seller and asked if there was any way that I could be assured that this would be a good purchase. They were very polite and gave me all of the info on the warranties provided by both them and Apple.I received the product and it was in MINT condition. The phone had absolutely no sign of ware whatsoever. It has been working perfectly for 4 months now, and I could not be happier with my purchase.The packaging clearly wasn't original and the charger was not OEM, but this is stated in the product description so I knew what I was getting into. No big deal.If you're the type of person that is willing to give up a fancy unboxing experience to save about $100, this is an excellent option for you.Additionally, I had no problems switching this phone over on my Verizon account. As long as you are a Verizon customer, this should be an easy process through the Verizon app.Thanks!",5
35,"I was looking for a reasonably priced iPhone 8 and happened to stumble upon this phone. I was skeptical at first because it was the cheapest I could find anywhere online, however, I couldn’t be happier with my purchase. The phone was advertised as a renewed phone that could vary on the degree of visual usage and battery health. Aside from one scratch on the back glass, the phone is flawless. The battery is also running at 100% capacity which was one of the most important categories for me when buying a new phone. I also checked the IMEI number and model number to find out more information. I was very happy to find that the phone was only 8 months old, and basically brand new with all original parts. This checked all the boxes and I couldn’t be happier with my purchase. For any one that cares my order was fulfilled by CR Land, who has their orders fulfilled by amazon. You can feel safe knowing that if you have to return your item or have any issues you will be dealing with amazon directly. You will not be dealing with the store front who supplies the product which is a plus since amazons return process is relatively painless. I would definitely recommend this product to another person just make sure you watch the prices, they often change and you may miss out on a deal that is up to $40 less than what is usually offered.",5
36,"I actually accidentally ordered this product when I meant to only add it to a wish list. I contacted the seller and they agreed to work with me to return it, but I decided to actually keep it, but kudos to the seller for being great! The phone was in perfect condition. It came on a recent but not the newest version of iOS so I had to update it before using it. No dents or scratches anywhere, battery health was at 100% when I checked it too. It does not come in original packaging or with Apple cables to charge it or to connect 3,5mm audio cables. It does come with a MFi (Made for iPhone) ac power brick and lightning connector cable and a sim eject tool to help you change sim cards.I just want to share some insight about GSM vs CDMA models. This is a GSM model phone, however I am a Verizon customer-- which is a CDMA network. GSM model iPhones have all the LTE bands that Verizon uses (I think Verizon's main  LTE band is 13 or 14 if you want to look up compatibility  yourself). So even with a Verizon sim card in this GSM only phone, I can still access all of Verizons 4g networks and have phone and text service, as well as LTE and voice over LTE. If I ever go out in the middle of nowhere I won't be able to make calls likely because I won't have access to Verizon's CDMA bands, but it's just as good as any CDMA model for most peoples uses, just don't expect to have cell service while camping or in some state/ national parks if you are a Verizon customer. 4g and LTE is rolled out very wide so you shouldn't have any issues.",5
37,"I was extremely skeptical about going with the certified refurbished option but this company did not let me down. You can trust this purchase completely and I’m so glad I did. It saved me hundreds of dollars and this phone works perfectly. I might as well as bought it new, no scratches or noise deformations. I’m pumped.",5
38,"It is almost perfect...It takes a while to fully charge, but the battery lasts all day long, esthetically flawless.. not a single scratch.",5
39,"I received a defective phone. It arrived in good physical condition, but cannot be updated to the latest software version and no longer boots up. This is all within an hour of having receiving it.The return label I received from the seller requires that I pay for shipping!",1
40,"the phone was clearly defective. The touch screen did not work at all. This is extremely frustrating since I need a cell phone for work. This makes me question using Amazon when clearly defective products are shipped, apparently without assuring that the product is operational.",1
41,"I purchased this for my wife. I was VERY hesitant to purchase refurbished especially when you see reviews of phones not working at all or where product details warn against using phone with any carrier other then ATT. We use cricket, which uses ATT towers. Happy to report, phone arrived fast, condition was excellent (no dings, scrapes, scratches, or any physical damage whatsoever). Packaging was a repack ( not original box) but was re-wrapped, included new cable and charge block, phone was nearly charged to full. Included a nice screen protector. Setup was simple as new, no issues with transfer. My wife has been using for 3 days now and loves it (so far). Will update after 30 days but so far, very pleased and glad We purchased.**UPDATE** 30 days in and still no issues. Very satisfied customer",5
42,"Everything works fine on this device but I think the seller bugged it before shipping it because, I had hackers hack into my paypal and steal money, people trying to sell stolen cars off my offer up account, people attempting to login to my Instagram, gmail, etc. from Brazil, Asia... I also had somebody hack into my Spotify account and delete all my playlists and lock me out of the account I pay for. Overall not worth it. I’ve had to change my password for everything!!!!",1
43,"iPhone 8 256GB Space Gray Unlocked GSMWhat came in the box1. iPhone 8 256GB Space Gray Unlocked GSM2. Lightning Cable3. USB Plug4. Original BoxWhat was not in the box1. Earphones2. SIM Card Removal Tool3. User ManualThe cable and plug are white and wrapped in plastic just like what you would get if it was new from Apple. I cannot tell if these are originals.EarphonesHave always used 3rd party so not getting a set was not a deal breaker.Phone ConditionBody is in very good condition. There are paint flecks on the corners, maybe dropped on a hardwood floor, it is smooth to the touch, not deep so it does not appear to have been dropped on concrete, pavement or other rough surface and it is not a light scratch from carrying it in a pocket.Screen ConditionIt came with a screen protector already applied. If there are any scratches I cannot tell. With the protector on, it looks pristine.A bummer since it was not mentioned in the ad and I had purchased a case and screen protector for it. I always protect the phone before it goes outside.It’s an expensive device so why people don’t protect it from day one I’ll never know, I guess some don’t care. I have a spare screen protector now.Battery Condition  Battery Health says 91% Maximum Capacity relative to when it was new, 86% charge on startup.Even though capacity says 91%, I am not having issues where I am out of juice early. Over a day with moderate use, heavier use I would need to recharge around 06:00pm-07:00 pm. This of course is a YMMV.Setting it upPhone was already reset. You set it up just like if it came straight out of the factory.CameraNo scratches on the lens and photos come out crisp and sharp.SpeakersNo issues, sound is very good. No hissing, cracks or pops.Microphone, Lighting PortNo issues. Works.Phone came with iOS 12.3.1 installed. So far I have not come across any issues that would give me pause on the purchase. Phone is working as expected and the ad says phone is like new and I would have to agree. Amazon tends to lump all the reviews together, regardless of seller so you can’t tell which negative review belongs to who. It’s as if it was all sold by one seller.  Reviewers need to say who their seller was.My seller was MobileDealz and at the time they were a little bit cheaper than most.  This phone debut at 849.00 + tax on September 22, 2017. Nearly 2 years later it is has seen a 50%+ price drop. I don’t need the latest and greatest, a gently used phone is just as good.",5
44,Half of my calls are muffled and people cannot hear me talking.,1
45,"The phone came in great condition but I have one small problem. I had an android from metropcs before this iphone and I tried putting the Sim in this phone but it says ""no sim"" and wont make calls. I saw another review on here that said it works with metro pcs so I'm trying to figure out the problem.",4
46,The phone crashes all day at least 5 times a day and takes a long time to reboot. Looks fake.,1
47,"Have only had the phone a couple of days but so far it works great.  It is an iPhone 8, 64GB model.  It looks brand new and everything functions as it should.  A note to Straight Talk users.  That is my carrier and when I put my Straight Talk SIM card in this phone it works great but I went to the Straight Talk website and logged in so I could transfer my new phone and register it.  The website kept giving me an error when I entered the phone's IMEI or serial number so I called Straight Talk support.After working with me for a while, the rep said ""You can't use your current SIM card because you have an unlocked phone.  You are going to have to buy a new SIM card and then register that and the new phone with our ""Bring Your Own Phone"" system on the website.""  I asked if I did that could I keep my phone number and he said yes.  I did some research online and got the impression the the Bring Your Own Phone is not for existing customers, but for new customers or existing customers with new phones who want new phone numbers.  Not sure about that, but my thought is that since the phone works perfect as it is, I am not going to try to upset the apple cart by buying a new SIM and trying to register it with Straight Talk.  I think they don't want us users to have unlocked phones and especially ones that were not purchased through the Straight Talk website or an authorized supplier so I am leaving well enough alone.  The phone works fine with my SIM card, the only thing is that on the Straight talk website it shows I have a Samsung Galaxy instead of an iPhone 8.  No harm, no foul.",5
48,"Seller was prompt and the phone was flawless. After a couple months, I have had no issues.",5
49,My husband is very happy with birthday present.,5
50,Este producto me llegó malogrado prende trabaja una hora y después se apaga por 4 o 5 horas después se vuelve a prender solo y hay veces no prende el producto viene fallado revísenlo,1
51,"iPhone came locked. We took it to T-Mobile who couldn’t do anything for us. We then took it to Apple, who offered to bypass the code. As they were working to bypass, the phone wouldn’t connect to the USB port. The Apple genius takes out a cleaner and starts unpacking gunk from the charging port. So, that was the moment I decided that we were sending this back. It was locked, it was packed with lint, it would not charge, and it has a visible scratch. So much for careful refurbishing.",1
52,"Took hours to reach 20% charge; must be a defective while the front and back has no scratch the rounded corner has dents. The phone has been dropped, which most likely lead to the charging issue.In package only the phone is original, plug and cable are oem and no instruction. No lightening to earphone jack adaptor.Read some of the reviews and people had same issues; hope this return isn’t going to someone else?",1
53,"I bought the iPhone 8 256. It looked like new when I received it. It did not come in the original iPhone box. It came in a cardboard box with the plug in to charge it and the little metal piece for SIM card. It worked great in every aspect except that I noticed the sound quality was not as good as my iPhone 5s, the sound was more “tinny” sound, probably not noticeable to others, but it was for me. I don’t know if it was a defect or how the iPhone 8 was made. It just startled me when I would use it for an alarm clock playing music. I did not have any problem at all returning the iPhone. The package came with a card that had their phone number and email address, backed by Amazon. There is a 90 day warranty and I turned it back in shortly before the 90 days was up. When I spoke with the customer service, they were really nice and just wanted to know what was wrong with the iPhone. I was sent an email with the return label and I sent it back with no problem and got a full refund. Even though the phone did not work out for me, I would still recommend this company because of their great service and following through with what they say they will do.",5
54,"A word to the wise, have BREED check the IMEI of what they're sending you. IMEI's are specific to GSM or CDMA, and even if the phone is fully unlocked, if the IMEI doesn't match, it won't work. For example, Verizon and Sprint have compatible IMEI's, and AT&T and T Mobile are compatible.I got a phone, and the IMEI did not work with my network, which is how I learned about all of this.A word on BREED, though. They are very easy to talk to, and very helpful. I doubt you will have any trouble reaching someone who can help you get the right phone for your network. I returned my phone with no problems, and they were very understanding about the difficulty.",3
55,Received a defective phone:1. The boot screen would display a line either above or below the Apple logo occasionally. It would either show as a green line or a static line2. There was occasional lag when swiping through home screens and opening apps. I compared it to a friends iPhone 8 and the problem was specific to the phone I received3. The touch screen would not respond occasionally4. The battery would not display correct percentages. I once had the phone charging for 20 minutes and the percentage did not increase at all. After restarting the phone it showed the correct percentage.  This also happened while using the phone — the percentage would not decrease until restarting the phone5. The speaker sound quality sounded poor compared to my friends iPhone 8,1
56,"I bought this twice, two years apart. The first one I sent back because the battery went south way too quickly and they sent another lickety split. Then I broke it fair and square.The one this time looks absolutely new with not so much as a smudge. Con: this battery health is at 77%, which is easily acceptable for a phone selling at 70% off the original price. A sixty dollar battery ""repair"" in a year is well worth it.Buy this one! If yours isn't perfect, SEND IT BACK FOR ANOTHER! Every used phone can have problems but that doesn't mean every used phone has one. If you don't understand this, go buy a new thousand dollar phone and be happy.",5
57,The phone literally cut off & on On me like 10 times also the call will drop and says called failed. It’s nice and new but the phone system seems to have its own issues,1
58,"The phone came as described in awesome packaging (as in, not just a cardboard box). The phone works great, it's fast compared to my iPhone SE, and was nearly flawless cosmetically. It had the signs of good use with a couple of scuffs, but that was covered up by the case I purchased. Besides, cosmetics don't affect the performance of the phone.Something I was a little leery about was the description, so here's my experience: The phone I received was unlocked and works great with Ting. The description said unlocked, but some reviewers mentioned that they received a GSM phone, and I was looking for CDMA. I received a phone that was unlocked that worked on either carrier network. I purchased from BuySPRY. I hope they don't mind I mentioned them.It is my understanding and from my research that unlocked and fully unlocked are roughly the same as carrier unlocked and factory unlocked. However, if the description specifies a specific network like ""unlocked GSM,"" then the phone will only work on GSM networks. Make sure to do your research on the phones before purchasing and contact the seller with questions. That's what I did and it worked out to my benefit.",5
59,"The product came with a scratch and little divet on the screen. When I first got it, it had a screen protector on, so I thought the screen protector had the divet- nope.  After accidentally dropping it, my phone screen cracked right through the divet. I have not had this phone long and am pretty disappointed as It is not even usable now. Now the screen shows many lines of colors. I should have sent it back at the beginning when I saw the divet but was willing to work with it. Make sure you do your due diligence when you first buy it to send it back if there is any issues with the screen!It’s a true unlocked Apple phone. Worked with at&t and Verizon (we switched carriers).",1
60,My phone was delivered in a timely manner and came in nice packaging. No scuffs or scratches on the screen or outside of the phone. I’m very content with the condition of this phone and it was easy to set up with the existing sim card I had in my old phone through Verizon! I will never buy a brand new phone from the store again! I do need to invest in a converter or some new headphones for the new port.,4
61,"I had a great experience with this purchase thus far. After reading some reviews about possible issues I was concerned and contacted seller. They responded quickly (10-20min) with multiple questions I had and related information about the T-Mobile only iPhone I had purchased and made me feel very comforable with the purchase. A+ customer service was my experience and the phone is in great shape for ""renewed"". Will update if needed. With phone and network carriers it pays to do a little homework sometimes.",5
62,"The phone arrived a day before; looked brand new; and worked perfectly... For the first 2 days. In just 2 days the screen has went black and stopped working. The phone is still on as it had 80% charge and it is vibrating when I touch the home button, but the screen does not work. I am now turned off by the whole experience as the phone looked perfect and stopped working out of nowhere.",1
63,"I ordered 2 phones, and should have expected the worst since what I got wasn't all that. One phone has a bunch of mini screen scratches, a few deeper ones, and an extremely deep one that was unavoidable (photos attached just of this one phone). Along with that, the phone came with a few dents and scratches around the edges anyway (which was ok and what I expected). The other phone I got had very very very few screen scratches and the minimal amount of expected dents on the side. On top of that, the way the home buttons felt when you pressed them felt different between the two of them. Both phones turned on fine, sound worked and touch screens worked normal. However I didn't even bother setting them up since I was going to return them.Since this item is $150 less than a new iPhone 8, doesn't come with Apple charger or headphones, the price difference wasn't worth it in my opinion and I ended up returning both of the phones. I'm leaving two stars since one of the phones was in decent shape and since I expected to possibly return these phones anyway. Just expect the worst but low-key hope for the best because in my case with was pretty much night and day between the two phones.",2
64,"I ordered a red i8 to replace a i5. I was not expecting to be surprised by reading the reviews. It showed up in 3 days when I opened the box it looked like a new i8 I ordered the red one it was in perfect condition no scratches no dings, dents or scuffs It looks brand new. Set it up in no time every thing is working  flawlessly I’ve had it a few weeks and no issues yet. Will repost if anything goes wrong",5
65,"A month after it working perfectly fine, the system just crashed. I have returned it and I'm waiting for next is my refund.",4
66,"After paying a lot of money for a rush phone, I got it in and it has 2 large scratches on the screen.  I’m forced to keep it as I HAVE to have one for work so I paid for rush shipping and had to load all my stuff on it, but NOT worth this price with the scratched screen.",1
67,I purchased this IPhone 8 for my mother in law. The phone was in excellent condition and operated perfectly for two months. After two months of use she could no longer get service on the phone. After contacting T-Mobile it was revealed the there is a carrier block on the phone and it cannot be used because the previous owner never paid the phone off. Just be aware this could happen and verify that the phone is clear and unlocked.,1
68,"When I got the phone, I was disappointed, but not surprised by the 85% capacity battery inside. I expected I’d be taking it in to Apple for a battery replacement, anyway. But, when I took it to Apple, they couldn’t replace the battery. They showed me pictures, where there was standing water and corrosion inside. Needless to say, I was shocked. Not only did I have the phone in a waterproof case, I only had it for a few days, and NEVER had it near water. I immediately contacted Amazon, who contacted the seller. The seller asked if I’d submerged the phone. I couldn’t believe it. After a few days of emailing, they agreed to a refund. I asked for a different phone with a full capacity battery as compensation. I use the phone for work. I missed out on money. They said they couldn’t oblige that. But, they did refund me promptly after reviewing the water damaged phone.",1
69,The iPhone I purchased actually was a stolen - and therefore blacklisted - one. I guess it's a common practice for this vendor to sell stolen iPhones.Amazon Renewed should probably be more careful of the provenance of the iPhones and should not take part in large-scale phone traffics.,1
70,This phone is great! However the next phone I got from this shop wasn’t so you really have to pray for the best. I will say they do refund you if there’s any issue. Their customer service is excellent! I just returned the defective iPhone 6S and purchased another iPhone 8 hoping that since I’m paying almost double that it will be exactly like this phone that I’m writing the review about.,5
71,"I was hesitant to order bc of how long it said it would take to arrive, however it arrived in less than a week (a whole week earlier than expected). I was pleasantly surprised at the quality of the phone. Not one single scratch on the screen, rear glass surface, or camera lens. There were some small surface scratches on the paint close to the camera lens, but that is to be expected with a refurbished phone. Other than that, it was in perfect condition. It is fully operational, and took the AT&T SIM card that I had when I first tried it. Where I’m located, Verizon is the way to go bc AT&T service sucks around here. When my Verizon sim arrived from straight talk, I popped it in and called the customer service line. She worked her magic and paired the phone’s IME number with the Verizon sim, and after about 20 minutes it was working perfectly on the Verizon sim. So when they say all carriers, it actually works on both AT&T and Verizon carriers.Also, I wasn’t even expecting a new cord and charger, but there it was in the box. I was also expecting to have to go find a paperclip to install my sim, but low and behold they included the sim removal tool too! For a 256Gb phone that is unlocked on all carriers, I’m extremely impressed. The battery had about 80% capacity, which is great too.I’m excited to have a shiny new phone, and I didn’t have to pay an arm and a leg to one of the big cell companies or sign and contract to get it! I’m all about not signing cell contracts these days. So thank you for having great quality phones for purchase! I will purchase from them again in the near future when it’s time for me to upgrade once again",5
72,"I do like writing reviews especially for used phones because it helps everyone. A special shout out to the Synergy phone renewal program team. My iPhone 8 came in perfect condition with the battery capacity of.....99%, really. When I ordered this phone last week I was having second thoughts about needing an iPhone just for work as I already have a iPhone 12mini but didn't want to use it for both personal and work so I took a chance and went with the 8, I was going to get a 7 but the 8 is only $15 more. I kind of hoped it would have some scuffs and that the battery was at 70 something percent capacity  so I could send it back and just use my 12 mini but I don't want the wear and tear on that battery alone as the 12 mini already has a small battery. I told myself the phone would need to be perfect and I would keep it, well perfect it was. I have ordered a Samsung galaxy s8, and it had screen burn in as well as a galaxy s9 plus that had a swollen battery (NOT FROM SYNERGY) so used phones can be hit or miss but this iPhone is brand new just in a different generic box but it came with the official iPhone cable and charging brick, all for $170.00 + tax. So yes I am keeping this for work and am as happy as I will ever be from a used phone, thank you Synergy, you all rock.",5
73,I needed to replace my old iPhone 5S because of the slow processor speed and not so great camera.  The iPhone 8 was priced right and I'm very happy with it.  The hardest part of the upgrade was getting the sim card tray to open on my old phone.  My previous phone was also a refurbished unit which worked flawlessly for nearly four years.  I've had the new phone for about a week now and there is a lot of new functionality that I have yet to use so it will keep me entertained for a while becoming familiar with them.,5
74,This phone did not work! It did turn on the first day and it overheated within 2 hours. The phone had a crack and after the first day the phone wouldn't  turn off and the calibration was off. It couldn't  read the password  to get into the phone. I will never buy a phone from this company again!,1
75,"I purchased this phone to use overseas on small trip, while i was on the airport decided to try and use it, put a T-Mobile SIM and it didn't work! Worst of all it was sunday and the seller Kanga Supply wasn't available.I arrived at my destination country on sunday , put a local SIM card and voilá! It's working!Later i asked a friend and he told me this happens a lot with US carrier locked phones which at some point get unlocked, they don't work with US SIM cards.Phone is working fine after 5 days and is in great aesthetic conditions. Haven't tried headphones because it didn't come with any accesories besides a generic charger and SIM tool.I think the seller or Amazon should put this warning on the product page.",4
76,"Purchased for my mother and received a glass screen protector already on it. Phone works exceptionally well, and was relieved that it was so perfect. Just wish it came with headphones. But the buy was worth it vs buying from a retail phone store.",5
77,This is a great product that arrived very timely and looks great!!,5
78,After 3 months my keyboard doesn’t work well:((,2
79,"The phone initially worked just fine and I was able to make a few phone calls after getting a sim card from my carrier. A few hours later, however, I realized I wasn't getting authentication text messages while trying to set up social media apps. While trying to make a test phone call, I was redirected to my carrier's customer service line. The representative informed me that the phone's IMEI (International Mobile Equipment Identity) number had been blacklisted as lost/stolen and that I would be unable to use the device until it had been removed from the blacklist by either Apple or Verizon (the former carrier). This is unacceptable considering I paid for a fully unlocked phone. On top of that, the headset speaker sounds tinny as if it was damaged from playing music too loudly. Phone calls are nearly unintelligible and music quality sounds worse than my iPhone 5s. I am very disappointed overall with this ""Renewed"" product that Amazon stands behind.",1
80,"I specifically sought this US-based model number A1863: it is listed as such.  Awesome.  I instead received a Japanese version model A1902 (apple p/n MQ782J/A).  Did you know that the Japanese model doesn't allow the user to silence the shutter sound effect when taking pictures, or the beeps when starting or stopping video recording?  After some embarrassment in front of clients at job site surveys, I researched the model number and learned why it was happening.  I ended up downloading a non-Apple camera app, in order to avoid the sound effects.  If I was sent the A1863 model as listed, this issue would not have cropped up.  That is why I am taking off one star from this review.To the seller's credit, the phone arrived a day early, was packaged well, and was in excellent physical shape.  All I had to do was put my SIM card in it, and load in everything from my iTunes account.  I've had it for several weeks, with no hiccups.AppleCare coverage was obviously expired and the battery reported its maximum health as 88%, but this is obviously a used phone.  Still a good value for me.",4
